,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
52,MIL,MIL @ DET,04/08/2022,,W,240,131,50,101,49.5,11,37,29.7,20,23,87.0,10,41,51,29,7,1,8,20,30
53,DET,DET vs. MIL,04/08/2022,,L,240,101,35,90,38.9,10,48,20.8,21,23,91.3,9,34,43,27,6,5,14,22,-30
54,NYK,NYK @ WAS,04/08/2022,,W,240,114,41,88,46.6,16,39,41.0,16,20,80.0,10,32,42,27,13,3,10,19,22
55,WAS,WAS vs. NYK,04/08/2022,,L,240,92,35,69,50.7,9,28,32.1,13,17,76.5,2,35,37,21,5,5,22,19,-22
56,BOS,BOS @ MIL,04/07/2022,,L,240,121,43,87,49.4,21,50,42.0,14,19,73.7,8,36,44,30,8,4,16,15,-6
57,MIL,MIL vs. BOS,04/07/2022,,W,240,127,49,97,50.5,14,38,36.8,15,21,71.4,14,34,48,27,13,5,11,19,6
58,LAL,LAL @ GSW,04/07/2022,,L,240,112,37,83,44.6,9,32,28.1,29,38,76.3,8,34,42,14,8,4,19,13,-16
59,GSW,GSW vs. LAL,04/07/2022,,W,240,128,51,97,52.6,16,32,50.0,10,10,100,9,36,45,39,10,5,15,26,16
60,DEN,DEN vs. MEM,04/07/2022,,W,240,122,44,80,55.0,12,30,40.0,22,25,88.0,8,35,43,27,7,2,19,22,13
61,MEM,MEM @ DEN,04/07/2022,,L,240,109,42,89,47.2,11,28,39.3,14,19,73.7,10,24,34,30,8,3,13,21,-13
62,SAS,SAS @ MIN,04/07/2022,,L,240,121,43,89,48.3,10,28,35.7,25,34,73.5,8,37,45,31,5,5,12,22,-6
63,MIN,MIN vs. SAS,04/07/2022,,W,240,127,41,96,42.7,20,53,37.7,25,31,80.6,13,34,47,25,8,2,11,29,6
64,POR,POR @ NOP,04/07/2022,,L,240,94,36,69,52.2,11,31,35.5,11,13,84.6,3,24,27,28,10,4,22,27,-33
65,NOP,NOP vs. POR,04/07/2022,,W,240,127,44,93,47.3,13,37,35.1,26,31,83.9,23,26,49,31,15,1,12,14,33
66,TOR,TOR vs. PHI,04/07/2022,,W,240,119,45,91,49.5,15,33,45.5,14,18,77.8,12,29,41,22,7,4,11,17,5
67,PHI,PHI @ TOR,04/07/2022,,L,240,114,37,75,49.3,19,36,52.8,21,25,84.0,6,31,37,26,7,3,17,18,-5
68,ORL,ORL @ CHA,04/07/2022,,L,240,101,38,95,40.0,15,48,31.3,10,13,76.9,8,35,43,27,6,4,16,22,-27
69,CHA,CHA vs. ORL,04/07/2022,,W,240,128,48,92,52.2,12,34,35.3,20,27,74.1,10,46,56,29,9,10,12,17,27
70,PHX,PHX @ LAC,04/06/2022,,L,240,109,42,108,38.9,17,48,35.4,8,12,66.7,18,36,54,29,11,2,12,26,-4
71,LAC,LAC vs. PHX,04/06/2022,,W,240,113,33,75,44.0,12,34,35.3,35,44,79.5,9,46,55,20,7,9,17,17,4
72,UTA,UTA vs. OKC,04/06/2022,,W,240,137,49,84,58.3,15,36,41.7,24,32,75.0,16,39,55,29,7,10,13,13,36
73,OKC,OKC @ UTA,04/06/2022,,L,240,101,37,90,41.1,16,37,43.2,11,17,64.7,11,21,32,27,9,1,10,22,-36
74,CHI,CHI vs. BOS,04/06/2022,,L,240,94,35,80,43.8,7,23,30.4,17,23,73.9,7,33,40,19,7,4,17,22,-23
75,BOS,BOS @ CHI,04/06/2022,,W,240,117,43,88,48.9,17,37,45.9,14,22,63.6,8,34,42,29,11,6,13,18,23
76,ATL,ATL vs. WAS,04/06/2022,,W,240,118,43,92,46.7,16,39,41.0,16,19,84.2,7,32,39,26,11,1,6,13,15
77,WAS,WAS @ ATL,04/06/2022,,L,240,103,42,86,48.8,10,35,28.6,9,11,81.8,6,38,44,26,4,4,14,17,-15
78,NYK,NYK vs. BKN,04/06/2022,,L,240,98,32,83,38.6,13,38,34.2,21,36,58.3,10,32,42,22,4,7,11,19,-12
